gene,logFC,p_value,adj_p_value
200653_s_at,0.4456149749996001,0.053873674850192496,0.05961203181481971
200654_at,1.6000550575048935,2.685541083370054e-06,6.116303348398908e-06
200655_s_at,0.6216206817272667,6.01411731828093e-08,2.1349781138004452e-07
200656_s_at,0.9422109402674543,9.64546205880509e-05,0.00015833934805978622
200657_at,0.6416401603601365,0.0005878308149498007,0.0008425184311781314
200658_s_at,0.7571244420180268,1.7051720937777572e-06,4.077736613613411e-06
200659_s_at,0.7785987324262837,1.7206992932012434e-10,1.4884449670187618e-09
200660_at,0.6016922361646255,0.0022720858702814308,0.002966478552029128
200661_at,0.5896204561954219,7.125983742699552e-09,3.381649787491181e-08
200662_s_at,0.7483130826187825,9.418643335983965e-08,3.153179529082492e-07
200663_at,0.6834533841547952,4.555242297865134e-09,2.3127013926481835e-08
200664_s_at,0.21537625654821912,0.17360084844192744,0.18376075748569992
200665_s_at,1.1493186898204097,5.722263727778181e-07,1.5373201805345051e-06
200666_s_at,0.7528628328290417,1.691133294481613e-05,3.214769083853761e-05
200667_at,0.6752698799762733,2.5184303537820613e-09,1.3938942765356599e-08
200668_s_at,0.9507293922394755,3.32849378894259e-14,2.03760514008263e-12
200669_s_at,0.951400595795457,2.6756646074397406e-18,4.9684862039649785e-15
200670_at,0.40402621807985817,7.547431418889713e-06,1.5516137494890624e-05
200671_s_at,0.408937645928531,0.0006880952517491359,0.0009747505718198344
200672_x_at,0.6884707573780657,2.035167842086148e-06,4.790467568146671e-06
200673_at,0.822353788032169,5.896296609636122e-11,6.21803962860964e-10
200674_s_at,0.5023377366892294,1.1521408676738484e-09,7.2339123568262516e-09
200675_at,0.8161813299854099,2.4886133975224886e-09,1.3804772799849045e-08
200676_s_at,0.5307138745258388,0.0005653240053886092,0.0008128219649034959
200677_at,0.5764144170534689,5.293403410026516e-06,1.1259345951281106e-05
200678_x_at,0.5592049994383625,2.1717967544129552e-06,5.072230067978606e-06
200679_x_at,0.9049918761050311,1.2678523899115584e-10,1.1630940635816902e-09
200680_x_at,0.34727977058914483,0.00013658488848727207,0.00021812664446082446
200681_at,0.7843330570620122,0.0009355113529045128,0.001294541357310517
200682_s_at,0.5941589044588618,2.6822829120344573e-06,6.109507321768763e-06
200683_s_at,0.49972994536383464,0.010120290422991752,0.012106642588475075
200684_s_at,0.5923003255843575,6.428907607284977e-08,2.266339949582837e-07
200685_at,0.36519265189293026,0.07398569998868704,0.0808148702376428
200686_s_at,0.37235037200709975,0.0008297184986904385,0.0011583620892374562
200687_s_at,0.4823564703417027,0.00048272387610693836,0.0007007515394977789
200688_at,0.8069469241944756,6.247774481145199e-10,4.343811505877019e-09
200689_x_at,1.0120448996878775,2.94746203963047e-06,6.650966747249191e-06
200690_at,0.9676998333964253,5.0293074764567013e-08,1.8269980192025543e-07
200691_s_at,0.6257172998933935,3.081932310124281e-08,1.1916484064983405e-07
200692_s_at,0.9965766791370694,2.54987406602866e-07,7.531660102507506e-07
200693_at,0.7147543972208332,1.4197400412446888e-10,1.2735437826480467e-09
200694_s_at,0.885048655278057,2.343906406746742e-12,4.822646949357125e-11
200695_at,0.6942276839124464,0.00013653077596628767,0.00021805585441920787
200696_s_at,0.792518879343687,0.0001333821262707763,0.00021356283104776233
200697_at,0.5203422812767649,0.000265728750552491,0.0004037388346216526
200698_at,0.6971823799784076,8.173214086046529e-09,3.81171472330211e-08
200699_at,0.7689485478101403,7.68459893579915e-11,7.74122595327362e-10
200700_s_at,0.9124004488092705,1.3819155606965775e-12,3.224059503087865e-11
200701_at,0.7395275933960583,3.7908301585080945e-07,1.0680372793278022e-06
200702_s_at,0.59427915294284,3.091795166584062e-07,8.913762672660455e-07
200703_at,0.8674380072178653,1.1666228107541932e-06,2.892529652644135e-06
200704_at,0.611600526309461,9.634246233742714e-06,1.9357971941072037e-05
200705_s_at,0.5447948745002034,2.6458843793950354e-07,7.782238862996248e-07
200706_s_at,0.9635915653994758,1.8657020240015443e-06,4.425530998597659e-06
200707_at,1.1239765302489149,1.4403672844281343e-10,1.287949606697918e-09
200708_at,0.6431048468976783,8.96979026816416e-05,0.00014799987896742093
200709_at,0.94670366700573,1.3796884823031586e-05,2.673821399474803e-05
200710_at,0.5095832308156307,0.007681034068316478,0.009331905683675703
200711_s_at,0.4639395264964197,7.065888578360396e-07,1.855836812725185e-06
200712_s_at,0.9347001926260639,4.3098653722472547e-07,1.196719378065864e-06
200713_s_at,0.684323402275556,6.098873195375406e-06,1.2806369337782716e-05
200714_x_at,0.5093286020673737,2.272751568759156e-05,4.2097858027149026e-05
200715_x_at,0.513295416550994,0.0011232728432556392,0.0015359529188920843
200716_x_at,1.1282509878094604,9.073538185348159e-09,4.1713565377370134e-08
200717_x_at,0.619034144456176,4.2998928969645524e-11,4.836674074864266e-10
200718_s_at,0.6600511226985741,2.8953092405972534e-11,3.5293312805376693e-10
200719_at,0.19586581484490395,0.30076938789550833,0.3124496163391894
200720_s_at,0.2020415535125757,0.19897815304022826,0.20958781300852783
200721_s_at,0.75648381003864,6.611506316660916e-09,3.17372243115371e-08
200722_s_at,0.4952625328126583,2.6605284972896045e-08,1.0490985047797605e-07
200723_s_at,1.2673875007184847,2.3525377768785606e-05,4.344314941120715e-05
200724_at,0.7226141415948426,2.1342157154916766e-06,4.9965043904497825e-06
200725_x_at,0.8150102097934777,3.2403883631038816e-06,7.235027444393166e-06
200726_at,0.6866524941602918,1.6660884726597393e-09,9.892206084806014e-09
200727_s_at,0.8949721317554893,6.097699191942842e-16,1.4302634852006563e-13
200728_at,0.9669476956216059,1.6779116846263973e-07,5.226293831217502e-07
200729_s_at,0.6389655023308212,0.01611965007217344,0.01885632645063997
200730_s_at,0.5898160946476771,6.838352906323337e-10,4.6878808333837386e-09
200731_s_at,0.5527571908105351,0.00012221552175505418,0.0001970000340905579
200732_s_at,0.5025832423588348,3.610494610220461e-07,1.023986108885307e-06
200733_s_at,0.8429455217654027,9.809205709388006e-10,6.3497046125753315e-09
200734_s_at,0.7855430727922137,2.6825284196116792e-08,1.0555320638214206e-07
200735_x_at,0.7817895579011331,4.380357875582618e-07,1.2140238127065605e-06
200736_s_at,1.471711971026389,1.2396756215838616e-05,2.424665819413588e-05
200737_at,1.483975954364654,0.0001463954506241409,0.0002325773439510717
200738_s_at,0.8212026325228141,1.9018588390834518e-11,2.509124956263858e-10
200739_s_at,1.2361764139352127,3.3652831529048305e-07,9.609238518105144e-07
200740_s_at,0.6424444346364577,2.0160864530709357e-10,1.6959023946311688e-09
200741_s_at,0.3805227117843035,5.83263694742838e-05,9.974570153457144e-05
200742_s_at,0.7798599201254337,9.264124661433625e-13,2.403172174979342e-11
200743_s_at,0.6848575702455406,1.1256877980550057e-12,2.783984595345138e-11
200744_s_at,1.0801471167007728,1.0271745512289081e-06,2.582772571093857e-06
200745_s_at,0.6408224714654267,1.9992678802736135e-09,1.1496397569106991e-08
200746_s_at,0.8929292686913275,1.4004212641537044e-09,8.52844685136294e-09
200747_s_at,0.4070980450945232,0.00018158087656550064,0.0002837623025814609
200748_s_at,0.891975123136378,3.025637744400504e-06,6.806692161380759e-06
200749_at,0.6095081372673796,0.004809966608208485,0.0060088852346644435
200750_s_at,1.211787474539209,0.005641687613680657,0.006972088353149913
200751_s_at,1.5998444560015637,3.0180748457402744e-08,1.1689859514623768e-07
200752_s_at,-0.06623360430195557,0.726122804254928,0.7344618450845466
200753_x_at,0.6531923859522042,4.086683595456483e-11,4.6328968481402695e-10
200754_x_at,0.5856474988363516,0.000396193386830222,0.0005830390462777597
200755_s_at,0.8182026424320368,3.9345569032682513e-08,1.4711498318679194e-07
200756_x_at,0.5632968368553506,4.131651383377895e-07,1.1524044032520922e-06
200757_s_at,0.7036571814919554,1.3748579495454717e-08,5.934901140976704e-08
200758_s_at,0.34386310498974204,0.008760575728552315,0.010572568726133625
200759_x_at,0.8157403393661564,3.759921573954657e-08,1.414764141040723e-07
200760_s_at,0.836093162239683,1.282175815003265e-09,7.91213616331148e-09
200761_s_at,0.6958875613829765,1.4280862087842443e-10,1.2783273166424964e-09
200762_at,0.4873891424663199,0.007851086523964655,0.009525511713292918
200763_s_at,0.6794567930718944,6.090705437596162e-11,6.383538973431523e-10
200764_s_at,0.7029970777443193,0.00056986036527291,0.0008188375757549914
200765_x_at,0.7468915978142832,2.7524231630405563e-06,6.2526501521085455e-06
200766_at,0.9657989632482753,0.00021385784598040047,0.0003301049031574719
200767_s_at,0.6705001925347229,1.9323048626247836e-11,2.535780285857954e-10
200768_s_at,0.5727209991226996,3.620273517320253e-10,2.7355147754308524e-09
200769_s_at,0.3787899470198379,0.019473123446178593,0.02257411350281956
200770_s_at,0.5609371490900408,0.005207762828617849,0.0064684826705736645
200771_at,0.9693601307588313,1.4249107489846279e-08,6.128408843780054e-08
200772_x_at,0.5275656442376881,3.617521598270055e-08,1.3697405908963744e-07
200773_x_at,0.45251896316745643,8.061620359927612e-07,2.088803331165895e-06
200774_at,0.6688458266570585,2.2519475342245896e-08,9.0842817557915e-08
200775_s_at,0.7528609274990075,7.492240411680588e-05,0.00012555433037036816
200776_s_at,0.6448027600781092,3.5297474195546325e-09,1.861618029584281e-08
200777_s_at,0.5609242158522978,1.4469346725544488e-06,3.513736411130207e-06
200778_s_at,0.5150709965264912,1.2832371936619272e-07,4.139912318860391e-07
200779_at,0.397776442113317,0.000245028747837791,0.0003745866896315517
200780_x_at,0.7083174474491862,1.2969920297415557e-07,4.1782381666518846e-07
200781_s_at,0.6877190618757041,8.522969354852274e-09,3.9516713719137166e-08
200782_at,0.8649417061658689,1.2155439733843674e-08,5.332055545086208e-08
200783_s_at,0.8360177571482588,0.00011561923903661829,0.00018726148447833737
200784_s_at,0.5987434784635548,1.407131257089375e-07,4.486350808659685e-07
200785_s_at,0.8852386440221434,7.134145781163033e-11,7.272194439234028e-10
200786_at,1.032129435079991,3.696654617480999e-07,1.0444092156882098e-06
200787_s_at,0.6458946701315824,2.055280647584477e-07,6.247144819277711e-07
200788_s_at,1.0971079546446472,2.2434383434190701e-07,6.742413293468168e-07
200789_at,1.2551653034365557,7.720811538823249e-07,2.010550935136128e-06
200790_at,0.955324761905695,2.6795871939458214e-09,1.4706709714949444e-08
200791_s_at,0.4809736742969708,0.022446185846240644,0.02584448711888494
200792_at,0.9400251450039914,5.831512652958582e-05,9.973412882483389e-05
200793_s_at,1.4415414730621592,1.6749508554461494e-07,5.217800910374185e-07
200794_x_at,0.8463556517059061,1.2375467343794252e-10,1.1404571498005266e-09
200795_at,0.6323484215515851,5.51887644387604e-07,1.4891877427814216e-06
200796_s_at,0.46077896081791003,0.00017741839937083216,0.0002776663992962672
200797_s_at,0.39378870852921466,0.047263849320023685,0.05262481159236935
200798_x_at,0.7823889819699108,3.705072042741954e-10,2.78825127755552e-09
200799_at,0.4123703752766996,0.0028565100987759558,0.003674611161010543
200800_s_at,0.9594189576180252,0.0014238054200495411,0.0019150513777367012
200801_x_at,0.8022008532514544,0.00010226838189339967,0.00016713211248482762
200802_at,1.2517875396854148,1.8057609776954546e-13,7.064312698330304e-12
200803_s_at,0.9392872820969416,6.982921885021411e-09,3.322665991115356e-08
200804_at,0.7043086130395864,7.367924300518615e-08,2.5473057397203227e-07
200805_at,0.7193286269554395,5.436825333162712e-06,1.1532487282138478e-05
200806_s_at,1.4234533109971998,3.180673728430845e-08,1.2230362845664283e-07
200807_s_at,0.7788966722695214,2.093938308691896e-10,1.7514724974692762e-09
200808_s_at,0.7897088487571953,0.00038723066160914374,0.0005707163722889443
200809_x_at,0.7308193606013109,1.8402096070885953e-09,1.0723167017456896e-08
200810_s_at,0.22337337812094837,0.21703307916783848,0.22789444904090028
200811_at,0.5694644186333075,1.38738718197912e-06,3.381661406261292e-06
200812_at,0.5438409727804725,0.008060822348382103,0.00977041472960174
200813_s_at,0.7330002144623204,0.0003572243340881382,0.0005300326166257813
200814_at,0.40570724897984256,0.015651839141353877,0.018338938457607975
200815_s_at,0.6693336601488902,2.7147140075708e-09,1.4859241520682914e-08
200816_s_at,-0.04686896880734892,0.8478287269986325,0.853304766201921
200817_x_at,0.773055543753701,1.0456572486988795e-07,3.452931308944448e-07
200818_at,1.023199891883813,0.00022459944317411727,0.0003452027446715999
200819_s_at,0.6407148601397044,1.7845890421052345e-10,1.535959738324872e-09
200820_at,0.7122755581298632,0.00017859325441853976,0.0002794069710179261
200821_at,0.24953557311320296,0.45501526619077937,0.467003140183738
200822_x_at,0.5941645764689056,1.1635831296223753e-06,2.886033267739914e-06
200823_x_at,1.0056147614465036,2.0404739561772514e-07,6.208066789390728e-07
200824_at,0.7319590673915055,1.1965477029713846e-09,7.46853570456901e-09
200825_s_at,0.7319710600880782,2.9526041780340446e-05,5.340764583093808e-05
200826_at,0.9273648471268423,2.3977003071979227e-06,5.533135454151959e-06
200827_at,0.7755672532406663,1.3034313387042182e-05,2.538398926791303e-05
200828_s_at,1.0122579641771967,7.027140872120012e-17,3.2622037511135466e-14
200829_x_at,0.5647351425393214,9.35888618076909e-12,1.427406302300326e-10
200830_at,1.1606633243726243,8.949363889626168e-06,1.8104282846349513e-05
200831_s_at,0.8475671616016882,1.5018582856246634e-08,6.400058936426539e-08
200832_s_at,1.1762615235742118,0.00031698588497105427,0.0004751057022136277
200833_s_at,0.5607583445417585,0.00018465640296921537,0.00028814416158004383
200834_s_at,0.5069353686600859,3.6312956838336395e-07,1.028420967499555e-06
200835_s_at,0.7090350398025524,2.4931143702443115e-10,2.012828533049058e-09
200836_s_at,0.9531711764442612,4.647457618504449e-08,1.7066463103680725e-07
200837_at,1.2718161440185778,3.235152411277514e-09,1.7242023721716538e-08
200838_at,0.8752822829716393,5.122513706383641e-09,2.5541502107707914e-08
200839_s_at,0.37344061737150724,0.051471892130572454,0.05707629621027848
200840_at,0.5584755506284704,0.00010768837642766088,0.00017532111433751497
200841_s_at,0.8511396621098282,3.3374410865415626e-06,7.435332906559251e-06
200842_s_at,0.9917971343168297,2.4387992541841155e-10,1.97829500476828e-09
200843_s_at,0.43634083830237813,0.05903589676614885,0.0650688473878466
200844_s_at,0.4750926006885994,0.005505263882614979,0.006813318250281009
200845_s_at,0.8581329742246737,9.440200746691962e-12,1.433515759217104e-10
200846_s_at,0.810617356959356,7.679888982196181e-06,1.5756464983912854e-05
200847_s_at,0.5071032885194882,6.458220317538507e-05,0.00010945278623038528
200848_at,0.36597796186191545,0.02480491827884277,0.028441288155163807
200849_s_at,0.7539049008977319,3.3255205852936144e-05,5.956319845840174e-05
200850_s_at,0.6427544038270643,1.8212786323351178e-10,1.5603057195049377e-09
200851_s_at,0.8120118994906509,0.0019534905763078925,0.0025719131764767368
