gene,logFC,p_value,adj_p_value
204540_at,1.0014243963059943,5.340315078064321e-15,5.560665461892864e-13
204544_at,1.2266717898563329,1.0086143732606655e-08,4.5579374193731405e-08
204570_at,1.1506170779198062,0.0030259399196891227,0.0038784595473357903
204591_at,1.130618272797335,3.9127446739406576e-05,6.906502659174563e-05
204627_s_at,1.1404264319103232,2.2456948651360117e-07,6.746773450158521e-07
204639_at,1.2481098457265016,5.8058069043192225e-11,6.14588100945108e-10
204666_s_at,1.096865469296091,5.54318239198408e-08,1.9896703163753424e-07
204675_at,1.2998005413509244,2.999076290138427e-06,6.7558043846698925e-06
204676_at,1.381355628645104,1.5936802965500418e-11,2.1819205043364282e-10
204685_s_at,1.181493457842576,7.823605155868523e-13,2.118267238009943e-11
204694_at,1.175517470527394,7.406013615664262e-08,2.5573872834006936e-07
204717_s_at,1.0732243797923235,8.881493737409212e-09,4.101685491205999e-08
204719_at,1.0746945541535133,0.019133644809254446,0.022193275065567477
204749_at,1.0618702917690204,1.4424629111596124e-08,6.184799124373609e-08
204760_s_at,1.2499674862071082,1.5138660035628192e-07,4.774731232468549e-07
204764_at,1.0262801015728034,8.050012250069601e-09,3.760553940635239e-08
204786_s_at,1.1862611094218742,2.6563763344223558e-14,1.7722165826327351e-12
204788_s_at,1.2226696986415604,5.866228487783262e-10,4.1183733268202394e-09
204806_x_at,1.1090559355152596,1.5265167314801274e-10,1.3482113486948743e-09
204828_at,1.0201175480125126,1.160102599145809e-07,3.7854101942840914e-07
204853_at,1.1154007831922383,2.230849582998613e-06,5.194902420102214e-06
204865_at,1.2277618271623263,0.0006552041333590575,0.0009318895579013135
204911_s_at,1.136939293689668,3.024913977450279e-11,3.6541629781893217e-10
204928_s_at,1.0853439880456488,9.197094488628857e-10,6.029386775231445e-09
204931_at,1.144878255342551,1.5013175617429005e-07,4.7405213586959124e-07
204948_s_at,1.1341538472114188,2.413885693076022e-06,5.5664508846955395e-06
204949_at,1.1462442249955274,1.6126881465664258e-06,3.8740329851163935e-06
204962_s_at,1.0597226308276309,4.500876482054706e-07,1.2435589665173593e-06
204983_s_at,1.0610666639641781,8.861384394345628e-12,1.367439255257643e-10
204997_at,1.2323746389554104,0.000684292858114847,0.0009696723534100563
205003_at,1.0011312090155666,2.1968683500644253e-11,2.8280079401782546e-10
205038_at,1.2267878851102507,2.4944741514338453e-08,9.9133881784199e-08
205040_at,1.0363056979860845,3.476254164365212e-07,9.905546233318418e-07
205048_s_at,1.4204144521033095,2.0955267175655523e-08,8.522471591077424e-08
205049_s_at,1.0069905261416014,7.886906700455585e-10,5.298279831361224e-09
205091_x_at,1.0401162943774338,7.471951117319425e-10,5.059176139387078e-09
